scope,subset,config,family,k,stat,n,mae,bias,rel_mae_vs_no_adjustment,coef,gamma
player,season_2024-25,P3_k80,P3,80,POOLED,4774.0,,,0.9932984899099436,,
player,season_2024-25,P3_k160,P3,160,PTS,4774.0,5.648011447417582,-0.7794379982807733,0.9913245317151524,,
player,season_2024-25,P3_k160,P3,160,AST,4774.0,1.6888602324764315,-0.2267000642566,0.9974632792751986,,
player,season_2024-25,P3_k160,P3,160,REB,4774.0,2.0525829746778173,-0.16613411005200576,0.9981424836701454,,
player,season_2024-25,P3_k160,P3,160,STL,4774.0,0.8204331636621406,-0.13139493144422568,0.9903230016653161,,
player,season_2024-25,P3_k160,P3,160,BLK,4774.0,0.5564051822027961,-0.10692984123738734,0.97050744213355,,
player,season_2024-25,P3_k160,P3,160,FG3M,4774.0,1.1250440358994434,-0.15683826282841162,0.9991145651826713,,
player,season_2024-25,P3_k160,P3,160,TOV,4774.0,1.0822023857625085,-0.13239797549101096,0.9992384133759821,,
player,season_2024-25,P3_k160,P3,160,FG3A,4774.0,1.8328241020908838,-0.23337298887888594,0.9984599173760174,,
player,season_2024-25,P3_k160,P3,160,OREB,4774.0,0.905312944747977,-0.12506746455137535,0.9977209337317612,,
player,season_2024-25,P3_k160,P3,160,POOLED,4774.0,,,0.9935882853473106,,
player,season_2024-25,P3_kinf,P3,inf,PTS,4774.0,5.657343334469021,-0.8299826057433386,0.9929624406761048,,
player,season_2024-25,P3_kinf,P3,inf,AST,4774.0,1.6911341792289813,-0.20845531386780985,0.9988063024224544,,
player,season_2024-25,P3_kinf,P3,inf,REB,4774.0,2.0574091718525587,-0.15208617389759044,1.0004893960698422,,
player,season_2024-25,P3_kinf,P3,inf,STL,4774.0,0.8213012241507648,-0.12913938500852884,0.991370814341347,,
player,season_2024-25,P3_kinf,P3,inf,BLK,4774.0,0.5557703737187568,-0.11035839698772028,0.9694001800558486,,
player,season_2024-25,P3_kinf,P3,inf,FG3M,4774.0,1.1250681198187027,-0.15365764937451196,0.9991359533183806,,
player,season_2024-25,P3_kinf,P3,inf,TOV,4774.0,1.0821012521560576,-0.1283417536152351,0.9991450328902444,,
player,season_2024-25,P3_kinf,P3,inf,FG3A,4774.0,1.8336066537547822,-0.2563616351825078,0.9988862247716845,,
player,season_2024-25,P3_kinf,P3,inf,OREB,4774.0,0.9054355289134465,-0.12553363256491473,0.9978560304281495,,
player,season_2024-25,P3_kinf,P3,inf,POOLED,4774.0,,,0.9942280416637841,,
player,season_2024-25,P3_kpick,P3,pick,PTS,4774.0,5.641797284309821,-0.7352803482482778,0.9902338376912196,,
player,season_2024-25,P3_kpick,P3,pick,AST,4774.0,1.687283888100342,-0.21644220757670457,0.9965322693547769,,
player,season_2024-25,P3_kpick,P3,pick,REB,4774.0,2.0500554297950497,-0.15455717000719385,0.9969133738324447,,
player,season_2024-25,P3_kpick,P3,pick,STL,4774.0,0.8200656037785584,-0.12792632032214055,0.989879329927845,,
player,season_2024-25,P3_kpick,P3,pick,BLK,4774.0,0.5568962785384863,-0.10623907931633014,0.9713640348897586,,
player,season_2024-25,P3_kpick,P3,pick,FG3M,4774.0,1.125273299696911,-0.147657732163576,0.999318166812483,,
player,season_2024-25,P3_kpick,P3,pick,TOV,4774.0,1.0824331012739927,-0.13655207614426487,0.9994514417380239,,
player,season_2024-25,P3_kpick,P3,pick,FG3A,4774.0,1.8324608089093986,-0.21394609620262212,0.9982620076695948,,
