season,player_id,stat,game_index,actual,blended,clean,n_playoff_rows,prior_mpg
2025-26,1631097,BLK,1,0.0,0.30563581994271366,0.3378294573643411,22,29.86111111111111
2025-26,1631097,FG3M,1,2.0,1.1436695197856381,1.379470284237726,22,29.86111111111111
2025-26,1631097,TOV,1,1.0,1.5873344197024806,1.9002906976744187,22,29.86111111111111
2025-26,1631097,FG3A,1,2.0,3.431008559356914,4.053953488372094,22,29.86111111111111
2025-26,1631097,OREB,1,0.0,1.114091859791182,1.2246317829457365,22,29.86111111111111
2025-26,1631097,PTS,2,25.0,13.793048777414723,16.272118863049094,22,29.86111111111111
2025-26,1631097,AST,2,2.0,1.5281790997135682,1.9143669250645994,22,29.86111111111111
2025-26,1631097,REB,2,3.0,4.495804319157336,5.391195090439276,22,29.86111111111111
2025-26,1631097,STL,2,1.0,0.5521163198965149,0.6615826873385012,22,29.86111111111111
2025-26,1631097,BLK,2,0.0,0.30563581994271366,0.3378294573643411,22,29.86111111111111
2025-26,1631097,FG3M,2,3.0,1.1436695197856381,1.379470284237726,22,29.86111111111111
2025-26,1631097,TOV,2,4.0,1.5873344197024806,1.9002906976744187,22,29.86111111111111
2025-26,1631097,FG3A,2,9.0,3.431008559356914,4.053953488372094,22,29.86111111111111
2025-26,1631097,OREB,2,0.0,1.114091859791182,1.2246317829457365,22,29.86111111111111
2025-26,1631097,PTS,3,24.0,13.793048777414723,16.272118863049094,22,29.86111111111111
2025-26,1631097,AST,3,2.0,1.5281790997135682,1.9143669250645994,22,29.86111111111111
2025-26,1631097,REB,3,12.0,4.495804319157336,5.391195090439276,22,29.86111111111111
2025-26,1631097,STL,3,1.0,0.5521163198965149,0.6615826873385012,22,29.86111111111111
2025-26,1631097,BLK,3,0.0,0.30563581994271366,0.3378294573643411,22,29.86111111111111
2025-26,1631097,FG3M,3,2.0,1.1436695197856381,1.379470284237726,22,29.86111111111111
2025-26,1631097,TOV,3,1.0,1.5873344197024806,1.9002906976744187,22,29.86111111111111
2025-26,1631097,FG3A,3,5.0,3.431008559356914,4.053953488372094,22,29.86111111111111
2025-26,1631097,OREB,3,3.0,1.114091859791182,1.2246317829457365,22,29.86111111111111
