part,scope,subset,config,stat,n,mae,bias,rel_mae,dir_acc,dir_bal_acc,coverage,pooled_rel_mae
player,pooled,top150,form_3_0.75,STL,29914,0.8672556083134708,-0.0010296262582130322,1.066231965494113,0.513039644589141,0.5101663279919023,0.9857257471418065,1.048846857846348
player,pooled,top150,form_3_0.75,BLK,29914,0.6179703530809492,0.0018274591771581486,1.0324938072011056,0.5329510938193236,0.5170705268933952,0.9795079227117738,1.048846857846348
player,pooled,top150,form_3_0.75,FG3M,29914,1.1495930528063758,-0.00680301726893198,1.0584411785075118,0.531114584073311,0.5284926022730302,0.9411646720599051,1.048846857846348
player,pooled,top150,form_3_0.75,TOV,29914,1.1284448048846956,0.00030986965770020387,1.0568123052410903,0.5202814709563923,0.5175447254265317,0.9881326469211741,1.048846857846348
player,pooled,top150,form_3_0.75,FG3A,29914,1.7973644793556895,-0.022101309847996485,1.0297362951287234,0.5547703180212014,0.5547523042906628,0.9649662365447617,1.048846857846348
player,pooled,top150,form_3_0.75,OREB,29914,0.9599340431693472,-0.0013739060532339143,1.0589673973161249,0.515747099218565,0.5097605228298459,0.9881995052483787,1.048846857846348
player,2023-24,top150,form_3_0.75,PTS,10118,5.792234980089405,-0.10351097750812001,1.046012549263795,0.5336571825121443,0.5336029060544767,0.996936153389998,1.0492307343849996
player,2023-24,top150,form_3_0.75,AST,10118,1.7438769081096934,-0.05839037063195577,1.0411097709714374,0.5374488880023935,0.5381768869726921,0.99100612769322,1.0492307343849996
player,2023-24,top150,form_3_0.75,REB,10118,2.167729049368291,-0.02767206231932594,1.0542708257919557,0.5325967950632029,0.5330514847937811,0.9929828029254794,1.0492307343849996
player,2023-24,top150,form_3_0.75,STL,10118,0.8397708929403888,-0.005638898468632546,1.0700911591247595,0.5090927358585351,0.5064623470523256,0.9836924293338605,1.0492307343849996
player,2023-24,top150,form_3_0.75,BLK,10118,0.6486562650553563,0.001151548302963421,1.0304858191615038,0.5316022544283414,0.5194541148560542,0.98201225538644,1.0492307343849996
player,2023-24,top150,form_3_0.75,FG3M,10118,1.1404196533968376,-0.013715022598012576,1.0600331757291097,0.5401244331962459,0.5373869009551169,0.937240561375766,1.0492307343849996
player,2023-24,top150,form_3_0.75,TOV,10118,1.1350985611057893,-0.0012428340634937844,1.060641376336496,0.5126,0.5101207729468599,0.9883376161296699,1.0492307343849996
player,2023-24,top150,form_3_0.75,FG3A,10118,1.7821924836090088,-0.039053943303536384,1.0314711791578035,0.5537828100874935,0.5541030523471261,0.9601699940699743,1.0492307343849996
player,2023-24,top150,form_3_0.75,OREB,10118,0.9444344704289177,0.002185047445266378,1.048960753928136,0.5279552715654952,0.5187902410660444,0.9899189563154773,1.0492307343849996
player,2024-25,top150,form_3_0.75,PTS,9875,5.751819463402333,-0.12898009914338715,1.0436164701912252,0.5305045173078875,0.5303240862110641,0.9975696202531645,1.0503882115107532
player,2024-25,top150,form_3_0.75,AST,9875,1.7155950414690313,-0.046997918966737655,1.0415024403761104,0.5363236946970471,0.5367980990181742,0.9910886075949367,1.0503882115107532
player,2024-25,top150,form_3_0.75,REB,9875,2.1362196645315312,-0.009684390231398443,1.0461426480244285,0.5345918367346939,0.534488868562381,0.9924050632911392,1.0503882115107532
player,2024-25,top150,form_3_0.75,STL,9875,0.8867886829186513,0.0021937301802781553,1.0692417693589258,0.5137793258887409,0.5110553550102679,0.9884556962025316,1.0503882115107532
player,2024-25,top150,form_3_0.75,BLK,9875,0.5926091404638205,0.006990068012534902,1.030047329282033,0.5432264736297828,0.5166803311839205,0.979240506329114,1.0503882115107532
player,2024-25,top150,form_3_0.75,FG3M,9875,1.1800241667203464,-0.007035862793914425,1.0594463757085948,0.5211282711282711,0.5197523471327711,0.9442025316455697,1.0503882115107532
player,2024-25,top150,form_3_0.75,TOV,9875,1.1377090759160053,-0.004922067340622906,1.0583296677297973,0.521297341681207,0.5200393285855245,0.986632911392405,1.0503882115107532
player,2024-25,top150,form_3_0.75,FG3A,9875,1.851091775539883,-0.019585691604147075,1.0390123600281103,0.5398341555578882,0.5400151777826929,0.9647594936708861,1.0503882115107532
player,2024-25,top150,form_3_0.75,OREB,9875,0.9625290230358137,-0.004958958619565024,1.0661548428975434,0.5040492055356227,0.5010356502971138,0.9878481012658228,1.0503882115107532
player,2025-26,top150,form_3_0.75,PTS,9921,5.623928420228604,-0.051026652486624254,1.044321833446407,0.5327943405760485,0.5328554406228179,0.9973792964418909,1.046883028781625
player,2025-26,top150,form_3_0.75,AST,9921,1.6806954217425425,-0.02305879991792456,1.0386104379579837,0.5325876970005083,0.5326609281914713,0.9913315190001007,1.046883028781625
player,2025-26,top150,form_3_0.75,REB,9921,2.1890939341333353,-0.012231105107993618,1.0549886082997113,0.5255200405885337,0.5251323684877194,0.9933474448140308,1.046883028781625
player,2025-26,top150,form_3_0.75,STL,9921,0.8758435771088249,0.00046276073855382817,1.0594900053357081,0.516320474777448,0.513070347059165,0.9850821489769177,1.046883028781625
player,2025-26,top150,form_3_0.75,BLK,9921,0.6119187370379154,-0.0026218802063962708,1.0370527788746293,0.5240845796802476,0.51371163077758,0.9772200383025904,1.046883028781625
player,2025-26,top150,form_3_0.75,FG3M,9921,1.1286585910913647,0.00047800475292445073,1.0557648202547933,0.5319353803359367,0.5279533483155461,0.9421429291402076,1.046883028781625
player,2025-26,top150,form_3_0.75,TOV,9921,1.1124376098560642,0.007101083659260691,1.05132822089223,0.5270986145069275,0.5222358818072637,0.9894163894768673,1.046883028781625
player,2025-26,top150,form_3_0.75,FG3A,9921,1.759359560813846,-0.007316004420606362,1.0184444758707787,0.5705527847049044,0.5698075741335851,0.9700635016631388,1.046883028781625
player,2025-26,top150,form_3_0.75,OREB,9921,0.9731584409927891,-0.0014350992197802912,1.0619460781023693,0.5149131767109295,0.5089025801605171,0.9867956859187582,1.046883028781625
player,pooled,top150,min_3_1.0,PTS,29914,5.496939391509052,-0.1575247640831072,1.0033879030475756,0.5365870009720779,0.5368233129222588,0.9972922377482115,1.0038487963491922
player,pooled,top150,min_3_1.0,AST,29914,1.6421897067196323,-0.10295940330928147,0.9970755560456519,0.5306218804802374,0.5320519842586335,0.9912415591361904,1.0038487963491922
player,pooled,top150,min_3_1.0,REB,29914,2.076331627387012,0.0014728263627885132,1.0090428884231528,0.5284651382015285,0.5309569061740084,0.992946446479909,1.0038487963491922
player,pooled,top150,min_3_1.0,STL,29914,0.8167620570309622,0.009526491572246944,1.0041535679459852,0.5090539165818921,0.5137915201533746,0.9858260346326135,1.0038487963491922
