subset,config,min_sample,k,cap,n_cases,n_moved,stat,mae,bias,rel_mae_vs_no_adjustment
all_treated,m3_k10_capnone,3.0,10.0,none,14709,12180,OREB,0.9180001038580113,-0.010120999733418132,1.0083983713469917
all_treated,m3_k10_capnone,3.0,10.0,none,14709,12180,POOLED,,,1.0043911334603353
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,PTS,5.570392557828509,-0.44870046584714945,0.9965233651404419
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,AST,1.6752956883955443,-0.157459390381422,0.9984269638598255
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,REB,2.074558057310894,-0.08352592122536043,1.001829810580436
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,STL,0.8228976900994011,-0.012504727143776284,1.007593472013378
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,BLK,0.5950745970188202,-0.005221734582029671,1.0060637623347135
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,FG3M,1.1215262491036835,-0.04578019353427627,1.0105902796294333
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,TOV,1.0815824013546094,-0.010620596829902816,1.0046437558756858
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,FG3A,1.8037926288087518,-0.1009828845098009,1.004740695879987
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,OREB,0.9178000427764993,-0.010382954736107477,1.0081786096411718
all_treated,m3_k10_cap0.75-1.35,3.0,10.0,0.75-1.35,14709,12180,POOLED,,,1.0042878572172302
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,PTS,5.569372336366973,-0.456851625917651,0.9963408511589795
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,AST,1.6750610301301199,-0.1625503324731072,0.9982871144343688
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,REB,2.074190340181324,-0.08498121490735669,1.0016522354188415
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,STL,0.8218210135720785,-0.01279553843900396,1.0062751401557817
all_treated,m3_k10_cap0.85-1.20,3.0,10.0,0.85-1.20,14709,12180,BLK,0.5947158308217928,-0.005114690429996304,1.0054572137241897
