row_type,subset,variant,mpg_source,quality,strength,fold,stat,n_cases,n_moved,mae,bias,rel_mae_vs_reference,fitted_s,ci_lo,ci_hi
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,FG3M,16101,16101.0,1.1043062606187195,0.08096116944341321,1.0178180977894857,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,TOV,16101,16101.0,1.0787956085761496,0.11449382199742486,1.017466926394098,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,FG3A,16101,16101.0,1.7916698110915659,0.233875110134199,1.0233819485588165,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,OREB,16101,16101.0,0.9221608740036881,0.07135589415716592,1.0160495388601019,,,
eval,all_treated,pit_noq_s0.35,pit,False,0.35,,POOLED,16101,16101.0,,,1.0169534205600799,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,PTS,16101,16101.0,5.658882771855511,1.1125598285545601,1.0369874778081238,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,AST,16101,16101.0,1.6693537389299,0.19112147696363999,1.0229973922216196,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,REB,16101,16101.0,2.127078870564525,0.40938578898452777,1.037064649374375,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,STL,16101,16101.0,0.8274574078745394,0.09180030329236594,1.0186854764259652,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,BLK,16101,16101.0,0.6152041886719655,0.043810428532939455,1.0203569633342278,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,FG3M,16101,16101.0,1.1156403866087643,0.13105999570327678,1.028264546357866,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,TOV,16101,16101.0,1.0899462898392283,0.1656800616201062,1.0279837001942058,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,FG3A,16101,16101.0,1.823219075303273,0.36982433205565,1.041402538784034,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,OREB,16101,16101.0,0.9304653199607937,0.10593340223342095,1.0251994916753546,,,
eval,all_treated,pit_noq_s0.50,pit,False,0.5,,POOLED,16101,16101.0,,,1.0287713595750858,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,PTS,16101,15567.0,5.462954865641192,-0.22484673300380686,1.0010837855973744,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,AST,16101,15567.0,1.6330962369769046,-0.11495084331545827,1.0007784166495752,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,REB,16101,15567.0,2.054667098107658,-0.041332678264717905,1.0017600396333983,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,STL,16101,15567.0,0.8134565318232956,0.008327568043184881,1.0014489528841943,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,BLK,16101,15567.0,0.6041578042556414,-0.0058130988762076265,1.0020358018948134,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,FG3M,16101,15567.0,1.0871449754612719,-0.018358146524217054,1.002000867336776,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,TOV,16101,15567.0,1.0624648794269145,0.013083173091551228,1.0020645863575295,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,FG3A,16101,15567.0,1.753713355406793,-0.03561555682078899,1.0017016415409716,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,OREB,16101,15567.0,0.9094084057841042,0.0028191916625613846,1.001998693916333,,,
eval,all_treated,prod_prev_q_s0.05,prod_prev,True,0.05,,POOLED,16101,15567.0,,,1.001652531756774,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,PTS,16101,15567.0,5.473712877430803,-0.06784265795691521,1.0030551859535404,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,AST,16101,15567.0,1.635197124913473,-0.0789186306681906,1.0020658627015049,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,REB,16101,15567.0,2.059465417105826,0.011647314299768405,1.0040994766323192,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,STL,16101,15567.0,0.8147689609591277,0.018173986416930948,1.0030646886148642,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,BLK,16101,15567.0,0.6054430368597881,-1.7866425980404787e-05,1.00416744543901,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,FG3M,16101,15567.0,1.089708381630522,-0.0007802012188322765,1.0043635100963908,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,TOV,16101,15567.0,1.064936165362473,0.031107083305267468,1.0043953816306141,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,FG3A,16101,15567.0,1.7580314070261849,0.012108627374275456,1.004168064791994,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,OREB,16101,15567.0,0.9113868817254707,0.014963341345885253,1.004178605930105,,,
eval,all_treated,prod_prev_q_s0.10,prod_prev,True,0.1,,POOLED,16101,15567.0,,,1.003728691310038,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,PTS,16101,15567.0,5.489511169774516,0.08916141708997631,1.0059502152361157,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,AST,16101,15567.0,1.638099157543169,-0.04288641802092298,1.0038442585819514,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,REB,16101,15567.0,2.065659957831974,0.06462730686425466,1.0071196463566758,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,STL,16101,15567.0,0.8162187715895732,0.028020404790677005,1.0048495551454528,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,BLK,16101,15567.0,0.6067889914363396,0.005777366024246807,1.0063998004031083,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,FG3M,16101,15567.0,1.0925716127678724,0.016797744086552494,1.0070024958322108,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,TOV,16101,15567.0,1.0677176133020234,0.0491309935189837,1.0070187064416178,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,FG3A,16101,15567.0,1.7635565136496285,0.05983281156933985,1.0073239444899669,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,OREB,16101,15567.0,0.9135522326325822,0.0271074910292091,1.0065644193523218,,,
eval,all_treated,prod_prev_q_s0.15,prod_prev,True,0.15,,POOLED,16101,15567.0,,,1.006230337982158,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,PTS,16101,15567.0,5.5095863637934,0.24616549213686803,1.009628984641923,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,AST,16101,15567.0,1.641772799480328,-0.006854205373655319,1.0060955046983548,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,REB,16101,15567.0,2.073148470217236,0.11760729942874103,1.0107706964322645,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,STL,16101,15567.0,0.8177793103504752,0.03786682316442309,1.0067707394336134,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,BLK,16101,15567.0,0.6081730822882307,0.011572598474474033,1.008695406910052,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,FG3M,16101,15567.0,1.0957224912067627,0.03437568939193729,1.009906600620352,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,TOV,16101,15567.0,1.070810449095351,0.06715490373269993,1.0099357169517291,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,FG3A,16101,15567.0,1.7703939174040673,0.1075569957644043,1.0112293937719625,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,OREB,16101,15567.0,0.9158792420023485,0.03925164071253298,1.0091283502929276,,,
eval,all_treated,prod_prev_q_s0.20,prod_prev,True,0.2,,POOLED,16101,15567.0,,,1.009129043750353,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,PTS,16101,15567.0,5.5956056665734355,0.7171777172775426,1.025391979464209,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,AST,16101,15567.0,1.6578188806240868,0.10124243256814756,1.0159287106765944,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,REB,16101,15567.0,2.103485349324927,0.2765472771221999,1.0255615466119667,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,STL,16101,15567.0,0.8232815562277741,0.06740607828566128,1.0135445720316278,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,BLK,16101,15567.0,0.6126615186304565,0.02895829582515568,1.0161397763740487,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,FG3M,16101,15567.0,1.1068879813473191,0.08710952530809159,1.0201976207304628,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,TOV,16101,15567.0,1.0817166132590774,0.12122663437384859,1.0202218742573397,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,FG3A,16101,15567.0,1.7978816745282524,0.2507295483495975,1.0269300961408447,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,OREB,16101,15567.0,0.9239398924180446,0.07568408976250454,1.0180096858263064,,,
eval,all_treated,prod_prev_q_s0.35,prod_prev,True,0.35,,POOLED,16101,15567.0,,,1.0202139846792668,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,PTS,16101,15567.0,5.71883090931885,1.1881899424182174,1.0479729444406158,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,AST,16101,15567.0,1.6811037518195526,0.2093390705099505,1.0301979227409273,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,REB,16101,15567.0,2.145330413025212,0.4354872548156588,1.04596325193419,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,STL,16101,15567.0,0.8298928244153757,0.09694533340689948,1.0216837255631264,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,BLK,16101,15567.0,0.6175136441532484,0.04634399317583733,1.0241873484733868,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,FG3M,16101,15567.0,1.1202842838074851,0.13984336122424593,1.0325447381684998,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,TOV,16101,15567.0,1.0949482748604469,0.1752983650149973,1.0327013262996048,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,FG3A,16101,15567.0,1.836109881937961,0.3939021009347907,1.0487656247335955,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,OREB,16101,15567.0,0.9335576701475153,0.11211653881247613,1.0286066856582994,,,
eval,all_treated,prod_prev_q_s0.50,prod_prev,True,0.5,,POOLED,16101,15567.0,,,1.0347359520013606,,,
eval,all_treated,prod_prev_noq_s0.05,prod_prev,False,0.05,,PTS,16101,15567.0,5.46133663616466,-0.24142199877187598,1.0007872458436742,,,
eval,all_treated,prod_prev_noq_s0.05,prod_prev,False,0.05,,AST,16101,15567.0,1.6328142559903582,-0.11883078636562945,1.0006056157583285,,,
eval,all_treated,prod_prev_noq_s0.05,prod_prev,False,0.05,,REB,16101,15567.0,2.0541621863881745,-0.04700125000679956,1.0015138681808127,,,
eval,all_treated,prod_prev_noq_s0.05,prod_prev,False,0.05,,STL,16101,15567.0,0.8133289185697347,0.007256214370048734,1.0012918477972559,,,
eval,all_treated,prod_prev_noq_s0.05,prod_prev,False,0.05,,BLK,16101,15567.0,0.6039173401041138,-0.006400926345096298,1.0016369761456374,,,
eval,all_treated,prod_prev_noq_s0.05,prod_prev,False,0.05,,FG3M,16101,15567.0,1.086915384512014,-0.0202488428348594,1.0017892577212404,,,
